account_id,vpa,mobile,device,fraud_ring_id
RING0_ACC0,suresh.714@paytm,9022768040,,0
RING0_ACC1,sanjay.133@paytm,9022768040,,0
RING1_ACC0,lakshmi.136@apl,,,1
RING1_ACC1,vikram.524@paytm,,,1
RING1_ACC2,pooja.237@ybl,9593586857,DEV_BIKCIDKW,1
RING1_ACC3,sanjay.409@icici,,DEV_BIKCIDKW,1
RING1_ACC4,divya.394@paytm,9593586857,,1
RING2_ACC0,pooja.807@apl,,,2
RING2_ACC1,sanjay.144@apl,,DEV_FFYVNVQJ,2
RING2_ACC2,manoj.751@apl,9745391478,,2
RING2_ACC3,deepa.175@hdfcbank,,,2
RING3_ACC0,manoj.842@icici,,,3
RING3_ACC1,kavya.363@icici,9413982250,DEV_039TEX8F,3
RING3_ACC2,mohammed.352@okaxis,9413982250,,3
RING3_ACC3,ramesh.298@ybl,9413982250,DEV_039TEX8F,3
RING4_ACC0,sanjay.811@icici,9219547810,DEV_PPQ0Y9DO,4
RING4_ACC1,rohan.480@hdfcbank,,DEV_PPQ0Y9DO,4
RING4_ACC2,ramesh.650@ybl,,,4
RING4_ACC3,vikram.448@ybl,9219547810,DEV_PPQ0Y9DO,4
RING4_ACC4,karthik.274@oksbi,9219547810,,4
RING5_ACC0,priya.955@ybl,9129557055,DEV_4F8CGVYI,5
RING5_ACC1,manoj.326@paytm,9129557055,DEV_4F8CGVYI,5
RING5_ACC2,kavya.499@ybl,9129557055,,5
RING5_ACC3,priya.022@paytm,,,5
RING5_ACC4,lakshmi.245@paytm,9129557055,,5
RING6_ACC0,ramesh.042@ybl,9659182871,DEV_KHMY4SJ6,6
RING6_ACC1,rohan.147@icici,9659182871,DEV_KHMY4SJ6,6
RING7_ACC0,ananya.921@hdfcbank,,,7
RING7_ACC1,suresh.197@oksbi,,,7
RING7_ACC2,arjun.271@hdfcbank,9585113878,DEV_6HID25OW,7
RING8_ACC0,rohan.192@ybl,9843720138,DEV_8KXO9T7E,8
RING8_ACC1,sanjay.491@icici,9843720138,DEV_8KXO9T7E,8
RING8_ACC2,meera.095@apl,,,8
RING9_ACC0,kavya.483@okaxis,9306338733,DEV_OOKEP7Y6,9
RING9_ACC1,sanjay.442@oksbi,,,9
RING9_ACC2,vikram.626@icici,9306338733,,9
RING10_ACC0,priya.728@apl,9621024804,DEV_WGZRIXA1,10
RING10_ACC1,arjun.911@oksbi,9621024804,,10
RING10_ACC2,sanjay.986@apl,,DEV_WGZRIXA1,10
RING11_ACC0,ananya.704@icici,9874226756,DEV_JCKJLTEI,11
RING11_ACC1,meera.379@ybl,,,11
RING11_ACC2,karthik.492@oksbi,,,11
RING11_ACC3,meera.577@okaxis,9874226756,DEV_JCKJLTEI,11
RING11_ACC4,divya.036@oksbi,,,11
RING12_ACC0,mohammed.470@paytm,9959560481,DEV_JLQM5K8P,12
RING12_ACC1,ramesh.791@ybl,9959560481,DEV_JLQM5K8P,12
RING12_ACC2,divya.652@apl,9959560481,DEV_JLQM5K8P,12
RING13_ACC0,ramesh.343@icici,9713595939,DEV_HV3IZKY2,13
RING13_ACC1,meera.819@apl,,DEV_HV3IZKY2,13
RING14_ACC0,karthik.343@oksbi,9479285447,,14
RING14_ACC1,sanjay.258@icici,9479285447,,14
RING14_ACC2,mohammed.245@okaxis,9479285447,,14
RING15_ACC0,pooja.961@apl,9402426353,,15
RING15_ACC1,manoj.598@paytm,9402426353,DEV_9TMQLIZL,15
RING15_ACC2,suresh.710@ybl,9402426353,,15
RING15_ACC3,ananya.671@ybl,9402426353,DEV_9TMQLIZL,15
RING15_ACC4,rajesh.392@hdfcbank,9402426353,,15
RING16_ACC0,meera.366@apl,9456189025,,16
RING16_ACC1,deepa.202@icici,9456189025,DEV_OVW1N6KV,16
RING16_ACC2,rajesh.640@paytm,,,16
RING16_ACC3,rajesh.022@hdfcbank,9456189025,,16
RING16_ACC4,deepa.456@paytm,,DEV_OVW1N6KV,16
RING17_ACC0,suresh.962@ybl,,DEV_TPV60VAI,17
RING17_ACC1,manoj.691@icici,9758944342,,17
RING17_ACC2,mohammed.443@ybl,,DEV_TPV60VAI,17
RING18_ACC0,rajesh.725@paytm,9298543394,,18
RING18_ACC1,priya.067@apl,9298543394,DEV_S9XTOGN1,18
RING18_ACC2,pooja.428@ybl,9298543394,DEV_S9XTOGN1,18
RING18_ACC3,ananya.475@paytm,9298543394,DEV_S9XTOGN1,18
