tx_id,timestamp,entered_name,actual_name,payee_vpa,amount,input_method,vpa_age_days,prior_tx_count,unique_senders_7d,mule_flagged,mule_flag_count,is_lookalike,name_score,fraud_ring_id,label
127,2026-04-11T08:26:12.397320,Rohan Iyer,Rohan Iyer,rajesh.561@ybl,12172.71,type,1061,496,8,False,0,False,0.94,,clean
934,2026-06-21T12:17:41.952224,Sanjay Joshi,Sanjay Solutions,divya.193@icici,18013.86,type,1406,38,2,False,0,False,0.5,,name_mismatch
169,2026-05-22T07:33:50.075874,Rajesh Joshi,Rajesh Joshi,sanjay.001@paytm,27948.4,type,1237,213,7,False,0,False,0.92,,clean
861,2026-06-19T17:48:05.967004,Paytm Support,Pooja Pillai,paytm.verify@axl,3838.36,paste,8,3,7,False,0,True,0.32,55,lookalike
409,2026-04-06T05:32:54.502633,Priya Gupta,Priya Gupta,kavya.503@okaxis,40288.84,type,1251,184,5,False,0,False,0.89,,clean
450,2026-01-01T19:54:21.152624,Lakshmi Nair,Lakshmi Nair,pooja.072@icici,17643.59,type,1255,223,8,False,0,False,0.92,,clean
771,2026-05-30T09:10:28.473317,Traders Rao,Priya Reddy,pooja.251@icici,40824.71,type,9,1,53,False,0,False,0.24,23,mule
867,2026-06-14T17:31:39.343466,Amazon Pay Support,Priya Verma,amazon.pay.verify@0kaxis,27470.64,paste,5,2,11,True,1,True,0.36,57,lookalike
96,2026-05-02T12:30:25.718232,BookMyShow,BookMyShow,bookmyshow@hdfcbank,4807.87,type,656,27,4,False,0,False,0.98,,clean
111,2026-06-14T04:32:40.213807,PhonePe,PhonePe,phonepe@ybl,3657.71,paste,1802,440,1,False,0,False,0.88,,clean
614,2026-01-22T07:55:42.099242,Lakshmi Enterprises,Lakshmi Enterprises,ramesh.232@hdfcbank,25149.46,type,1208,370,5,False,0,False,0.87,,clean
39,2026-06-08T01:51:01.166267,Karthik Patel,Karthik Patel,pooja.483@apl,7303.15,paste,1008,500,7,False,0,False,0.93,,clean
51,2026-05-04T18:33:18.273355,Vikram Services,Vikram Services,karthik.653@apl,7083.53,type,1471,32,2,False,0,False,0.92,,clean
573,2025-12-28T08:06:53.047649,Karthik Reddy,Karthik Reddy,lakshmi.216@ybl,18575.8,type,805,262,2,False,0,False,0.95,,clean
315,2026-06-13T17:58:43.052764,Suresh Joshi,Suresh Joshi,meera.723@icici,11198.09,type,1271,218,1,False,0,False,0.86,,clean
