tx_id,entered_name,actual_name,payee_vpa,amount,input_method,vpa_age_days,prior_tx_count,unique_senders_7d,mule_flagged,mule_flag_count,is_lookalike,name_score,fraud_ring_id,bank_flags,seasonal_burst,session_anomaly,vpa_is_new,sanction_match,label
142,Hdfc Service,Lakshmi Kumar,hdfc.service@0kaxis,10254.42,paste,4,0,19,False,0,True,0.18,,0,False,False,False,False,lookalike
155,Hdfc Service,Divya Reddy,hdfc.kyc@hdfcb,21258.23,paste,6,4,16,True,1,True,0.18,,0,False,False,False,False,lookalike
298,Crescent Capital Group,Crescent Capital Group,divya.866@ybl,924428.34,type,269,41,3,False,0,False,1.0,,0,False,False,False,True,sanction
19,Paytm,Paytm,paytm@paytm,4374.11,type,1295,885,2,False,0,False,1.0,,0,False,False,False,False,clean
67,BookMyShow,BookMyShow,bookmyshow@hdfcbank,20847.13,type,723,902,7,False,0,False,0.93,,0,False,False,False,False,clean
300,Pacific Rim Associates,Pacific Rim Associates,rohan.48@oksbi,1855902.61,type,450,22,3,False,0,False,0.99,,0,False,False,False,True,sanction
215,Pooja Associates,Ananya Shah,ananya.444@okaxis,103058.44,type,313,51,3,False,0,False,0.59,,0,False,False,False,False,biz_individual_mismatch
162,Amazon Help,Ananya Verma,amazon.support@axl,6760.23,paste,6,0,5,True,1,True,0.3,,0,False,False,False,False,lookalike
2,Suresh Sharma,Suresh Sharma,arjun.518@okaxis,30140.73,type,1449,253,9,False,0,False,0.93,,0,False,False,False,False,clean
316,Karthik Iyer,Karthik Iyer,amit.205@ybl,18174.58,paste,758,76,3,False,0,False,0.96,,0,False,True,False,False,session_anomaly
18,Manoj Shah,Manoj Shah,sneha.332@ybl,24481.42,type,529,421,5,False,0,False,0.91,,0,False,False,False,False,clean
88,Lakshmi Singh,Lakshmi Singh,pooja.339@apl,56012.53,type,44,24,44,True,1,False,0.95,,1,False,False,False,False,mule
32,Swiggy,Swiggy,swiggy@ybl,2952.55,type,1496,538,9,False,0,False,0.99,,0,False,False,False,False,clean
190,ICICI Support,Suresh Iyer,icici.support@yba,46887.17,paste,11,1,18,False,0,True,0.11,,0,False,True,False,False,clipboard_scam
302,Karthik Shah,Karthik Shah,kavya.167@ybl,49477.07,type,1161,1586,76,False,0,False,0.99,,0,True,False,False,False,seasonal_burst
258,Deepa Patel,Deepa Patel,deepa.new@icici,435265.93,type,4,0,1,False,0,False,0.98,,0,False,False,True,False,fresh_vpa
91,Priya Pillai,Priya Pillai,kavya.233@okaxis,57327.76,type,11,39,34,True,1,False,0.95,,1,False,False,False,False,mule
177,Kotak Support,Kavya Nair,kotak.support@paytrn,37568.01,paste,20,1,31,False,0,True,0.12,,0,False,True,False,False,clipboard_scam
117,Sanjay Shah,Sanjay Shah,manoj.274@hdfcbank,165904.4,type,43,19,38,True,3,False,0.95,,3,False,False,False,False,mule_consortium
185,BOB Support,Deepa Iyer,bob.support@paytrn,35523.81,paste,19,3,39,False,0,True,0.25,,0,False,True,False,False,clipboard_scam
150,Amazon Kyc,Manoj Nair,amazon.service@0kaxis,11616.03,paste,10,3,8,True,1,True,0.39,,0,False,False,False,False,lookalike
78,Arjun Sharma,Arjun Sharma,kavya.871@apl,34244.53,type,1949,173,10,False,0,False,0.97,,0,False,False,False,False,clean
202,Divya Solutions,Vikram Gupta,manoj.274@hdfcbank,161223.88,type,1069,40,3,False,0,False,0.57,,0,False,False,False,False,biz_individual_mismatch
76,Vikram Menon,Vikram Menon,priya.797@icici,40983.13,type,937,160,10,False,0,False,0.88,,0,False,False,False,False,clean
249,Deepa Verma,Deepa Verma,deepa.new@paytm,194525.47,type,6,0,1,False,0,False,0.91,,0,False,False,True,False,fresh_vpa
40,Pooja Patel,Pooja Patel,kavya.620@paytm,10610.42,type,1002,258,5,False,0,False,0.94,,0,False,False,False,False,clean
278,Kavya Reddy,Amit Iyer,sneha.792@icici,73802.55,type,49,100,35,True,2,False,0.95,ring_02,1,False,False,False,False,ring_member
98,Sneha Joshi,Sneha Joshi,deepa.641@ybl,35598.65,type,20,15,57,True,1,False,0.95,,1,False,False,False,False,mule
296,Global Trade Finance Ltd,Global Trade Finance Ltd,mohammed.670@hdfcbank,1984181.94,type,432,7,3,False,0,False,0.91,,0,False,False,False,True,sanction
70,Karthik Iyer,Karthik Iyer,karthik.742@apl,8335.73,type,1257,991,3,False,0,False,1.0,,0,False,False,False,False,clean
175,PNB Support,Sneha Patel,pnb.support@hdfcb,21375.41,paste,10,3,36,False,0,True,0.25,,0,False,True,False,False,clipboard_scam
204,Rajesh Solutions,Meera Patel,ramesh.745@oksbi,174657.25,type,922,177,3,False,0,False,0.72,,0,False,False,False,False,biz_individual_mismatch
65,Flipkart,Flipkart,flipkart@icici,11801.23,type,987,377,9,False,0,False,0.89,,0,False,False,False,False,clean
124,Divya Pillai,Divya Pillai,ramesh.633@icici,22999.94,type,41,8,60,True,3,False,0.95,,3,False,False,False,False,mule_consortium
187,ICICI Support,Divya Pillai,icici.support@axl,21704.54,paste,4,0,28,False,0,True,0.12,,0,False,True,False,False,clipboard_scam
136,Phonepe Help,Arjun Pillai,phonepe.support@paytrn,17069.93,paste,11,3,30,False,0,True,0.32,,0,False,False,False,False,lookalike
112,Divya Das,Divya Das,ramesh.209@oksbi,60740.69,type,41,15,28,True,4,False,0.95,,4,False,False,False,False,mule_consortium
134,Paytm Help,Mohammed Shah,paytm.support@hdfcb,7730.21,paste,12,3,10,True,1,True,0.21,,0,False,False,False,False,lookalike
97,Karthik Gupta,Karthik Gupta,kavya.881@oksbi,90336.15,type,49,8,42,True,1,False,0.95,,1,False,False,False,False,mule
5,Ramesh Joshi,Ramesh Joshi,pooja.128@oksbi,48658.48,type,1075,130,9,False,0,False,0.92,,0,False,False,False,False,clean
165,Hdfc Help,Sneha Gupta,hdfc.refund@axl,20884.63,paste,15,2,7,False,0,True,0.28,,0,False,False,False,False,lookalike
318,Mohammed Pillai,Mohammed Pillai,meera.690@hdfcbank,15479.79,paste,510,91,3,False,0,False,0.91,,0,False,True,False,False,session_anomaly
239,BOB,Bank of Baroda,karthik.322@icici,95711.86,type,1441,372,3,False,0,False,0.3,,0,False,False,False,False,name_mismatch_abbr
80,Divya Sharma,Divya Sharma,lakshmi.651@oksbi,44589.59,type,1241,774,3,False,0,False,0.93,,0,False,False,False,False,clean
256,Sanjay Patel,Sanjay Patel,sanjay.new@apl,256511.51,type,3,0,1,False,0,False,0.97,,0,False,False,True,False,fresh_vpa
133,Sbi Service,Ananya Das,sbi.service@yba,2880.52,paste,11,5,6,False,0,True,0.24,,0,False,False,False,False,lookalike
223,Ramesh Solutions,Ananya Sharma,sneha.429@oksbi,53412.7,type,527,103,3,False,0,False,0.7,,0,False,False,False,False,biz_individual_mismatch
292,Suresh Reddy,Manoj Gupta,ramesh.633@paytm,33697.79,type,57,100,23,False,0,False,0.92,ring_04,0,False,False,False,False,ring_satellite
221,Deepa Solutions,Divya Gupta,ananya.321@icici,172989.59,type,853,108,3,False,0,False,0.71,,0,False,False,False,False,biz_individual_mismatch
238,BOB,Bank of Baroda,ramesh.723@hdfcbank,14670.17,type,924,387,3,False,0,False,0.29,,0,False,False,False,False,name_mismatch_abbr
255,Ananya Pillai,Ananya Pillai,ananya.new@icici,260609.35,type,2,0,1,False,0,False,0.98,,0,False,False,True,False,fresh_vpa
20,Ananya Patel,Ananya Patel,divya.970@apl,27535.2,type,842,590,10,False,0,False,0.93,,0,False,False,False,False,clean
41,Amazon Pay,Amazon Pay,amazon.pay@apl,4705.69,type,1167,899,5,False,0,False,0.89,,0,False,False,False,False,clean
115,Kavya Rao,Kavya Rao,rohan.426@apl,168597.55,type,36,15,50,True,3,False,0.95,,3,False,False,False,False,mule_consortium
4,Swiggy,Swiggy,swiggy@ybl,5200.29,type,1078,149,6,False,0,False,0.98,,0,False,False,False,False,clean
180,Kotak Support,Manoj Iyer,kotak.support@paytrn,5820.37,paste,10,1,23,False,0,True,0.17,,0,False,True,False,False,clipboard_scam
279,Manoj Reddy,Meera Nair,ramesh.571@paytm,47683.41,type,55,100,13,False,0,False,0.95,ring_02,0,False,False,False,False,ring_satellite
158,Paytm Support,Mohammed Joshi,paytm.support@yba,13496.83,paste,7,3,19,False,0,True,0.25,,0,False,False,False,False,lookalike
62,Paytm,Paytm,paytm@paytm,22877.45,type,1941,525,9,False,0,False,1.0,,0,False,False,False,False,clean
79,Zomato,Zomato,zomato@paytm,33109.91,type,441,568,6,False,0,False,0.88,,0,False,False,False,False,clean
169,Phonepe Kyc,Amit Gupta,phonepe.service@paytrn,17187.77,paste,15,4,25,False,0,True,0.34,,0,False,False,False,False,lookalike
24,Sanjay Sharma,Sanjay Sharma,arjun.286@icici,33481.99,type,738,602,3,False,0,False,0.97,,0,False,False,False,False,clean
120,Sanjay Joshi,Sanjay Joshi,karthik.396@oksbi,197798.66,type,88,5,70,True,2,False,0.95,,2,False,False,False,False,mule_consortium
104,Rajesh Joshi,Rajesh Joshi,karthik.966@paytm,44475.7,type,73,33,49,True,1,False,0.95,,1,False,False,False,False,mule
207,Sneha Trading,Amit Kumar,rajesh.972@apl,77338.08,type,1109,39,3,False,0,False,0.6,,0,False,False,False,False,biz_individual_mismatch
308,Kavya Gupta,Kavya Gupta,rohan.105@paytm,19275.49,type,1247,1119,51,False,0,False,0.96,,0,True,False,False,False,seasonal_burst
39,Manoj Kumar,Manoj Kumar,pooja.307@apl,46594.63,type,512,949,3,False,0,False,0.91,,0,False,False,False,False,clean
84,Deepa Iyer,Deepa Iyer,rohan.349@hdfcbank,45550.48,type,99,22,53,True,1,False,0.95,,1,False,False,False,False,mule
26,Ramesh Das,Ramesh Das,priya.63@apl,20190.8,type,994,869,2,False,0,False,0.91,,0,False,False,False,False,clean
93,Priya Pillai,Priya Pillai,amit.292@ybl,73062.56,type,53,16,43,True,1,False,0.95,,1,False,False,False,False,mule
